,product_id,location,distance_group,distance_group_last_mile,distance_no_group
0,48112,Echallens,0,0,0
0,47621,Echallens,12983.231202664336,82973.50288391057,23926.46673337355
0,46692,Echallens,12983.231202664336,93432.23948968551,26725.043609756565
0,44014,Echallens,0,0,0
0,43310,Echallens,12983.231202664336,85006.18480936602,23344.570410032356
0,41774,Echallens,10866.131326137083,22162.858473093944,17452.786800762875
0,39468,Echallens,1071.3830159965207,7327.881063946529,4071.0216721809925
0,37317,Echallens,10866.131326137083,18064.874242757516,16643.25997912798
0,34386,Echallens,12983.231202664336,93480.6586549543,24939.935045766524
0,31981,Echallens,13970.565630308936,135844.62851059192,28907.455179302087
0,28745,Echallens,0,0,0
0,25872,Echallens,695.8534419373789,40085.84675281858,7574.587378845208
0,22178,Echallens,0,0,0
0,21376,Echallens,12983.231202664336,91993.98691406006,24749.00189409155
0,21288,Echallens,13996.744983470675,160168.25470539046,31173.809606086477
0,20119,Echallens,10866.131326137083,14633.384890861698,14236.26637115458
0,19240,Echallens,12983.231202664336,84902.59402051232,24122.04412526423
0,18557,Echallens,0,0,0
0,16823,Echallens,0,0,0
0,16570,Echallens,13996.744983470675,157618.43897354635,28923.49853752152
0,16290,Echallens,10866.131326137083,25760.943564108024,17934.484158803487
0,16262,Echallens,0,0,0
0,15976,Echallens,0,0,0
0,15680,Echallens,0,0,0
0,12771,Echallens,13996.744983470675,167362.17453640827,32591.129443590627
0,11714,Echallens,0,0,0
0,7538,Echallens,10866.131326137083,24027.620807167754,16733.052769496393
0,3583,Echallens,13970.565630308936,156670.36225723347,30432.72607615852
0,2344,Echallens,0,0,0
0,1000,Echallens,0,0,0
