,product_id,location,distance_group,distance_group_last_mile,distance_no_group
0,48112,Geneva,0,0,0
0,47621,Geneva,3638.2961467964865,67922.43531535116,12611.99684849116
0,46692,Geneva,3638.2961467964865,70274.6153013368,13337.299205164158
0,44014,Geneva,0,0,0
0,43310,Geneva,3638.2961467964865,71012.47862284844,13052.969066746058
0,41774,Geneva,2861.993120577847,30760.41378081089,7581.852599849438
0,39468,Geneva,0,0,0
0,37317,Geneva,2861.993120577847,28973.418218686136,7119.382017415906
0,34386,Geneva,3638.2961467964865,72722.8310767771,12782.541591976727
0,31981,Geneva,4400.075842139278,134307.00893338153,19184.68611816106
0,28745,Geneva,0,0,0
0,25872,Geneva,1054.8293683770914,18137.863246811277,3800.9041103719815
0,22178,Geneva,0,0,0
0,21376,Geneva,3638.2961467964865,72092.81309318753,12922.716568201353
0,21288,Geneva,4476.974562326492,144897.57288194136,19483.195323529013
0,20119,Geneva,2861.993120577847,33571.40392003418,7631.067814533114
0,19240,Geneva,3638.2961467964865,68687.44239889734,12592.221680066214
0,18557,Geneva,0,0,0
0,16823,Geneva,0,0,0
0,16570,Geneva,4476.974562326492,137291.5041313258,19627.813749744513
0,16290,Geneva,2861.993120577847,29204.23438427411,7056.767076716359
0,16262,Geneva,0,0,0
0,15976,Geneva,0,0,0
0,15680,Geneva,0,0,0
0,12771,Geneva,4476.974562326492,137369.37216938034,19247.304866327246
0,11714,Geneva,0,0,0
0,7538,Geneva,2861.993120577847,31755.553882543052,7570.536267096054
0,3583,Geneva,4400.075842139278,131098.83676763662,18637.299846944832
0,2344,Geneva,0,0,0
0,1000,Geneva,0,0,0
