,product_id,location,distance_group,distance_group_last_mile,distance_no_group,distance_group_last_mile_cutoff_100,distance_group_last_mile_cutoff_200,distance_group_last_mile_cutoff_300,distance_group_last_mile_cutoff_400,distance_group_last_mile_cutoff_500,distance_group_last_mile_cutoff_600,distance_group_last_mile_cutoff_700,distance_group_last_mile_cutoff_800,distance_group_last_mile_cutoff_900,distance_group_last_mile_cutoff_1000,distance_group_last_mile_cutoff_1100,distance_group_last_mile_cutoff_1200,distance_group_last_mile_cutoff_1300,distance_group_last_mile_cutoff_1400,distance_group_last_mile_cutoff_1500,distance_group_last_mile_cutoff_1600,distance_group_last_mile_cutoff_1700,distance_group_last_mile_cutoff_1800,distance_group_last_mile_cutoff_1900,distance_group_last_mile_cutoff_2000,distance_group_last_mile_cutoff_2100,distance_group_last_mile_cutoff_2200,distance_group_last_mile_cutoff_2300,distance_group_last_mile_cutoff_2400,distance_group_last_mile_cutoff_2500,distance_group_last_mile_cutoff_2600,distance_group_last_mile_cutoff_2700,distance_group_last_mile_cutoff_2800,distance_group_last_mile_cutoff_2900,distance_group_last_mile_cutoff_3000
0,48112,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47621,Grand-Lancy,680.1153482457502,6167.061192825866,1940.1743638965302,6167.061192825866,6167.061192825866,5955.186461208774,4896.356346404448,2214.3254084280798,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46692,Grand-Lancy,680.1153482457502,4982.328955435918,1791.7017968214511,4946.27689165164,4946.27689165164,4443.136832947556,3433.8596245437025,1638.7108374868649,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44014,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43310,Grand-Lancy,680.1153482457502,4577.979467091024,1744.5132311761545,4541.927403306746,4541.927403306746,4330.052671689654,2949.9746336022486,1172.995290365907,624.7087077652611,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41774,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39468,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37317,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34386,Grand-Lancy,680.1153482457502,2954.4031262417748,1486.3859164736941,2918.3510624574965,2606.65063041792,2315.3853033309288,1626.8320857591107,1172.6891316019528,624.7087077652611,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31981,Grand-Lancy,1566.6687118059845,18218.69000182526,5240.853510417646,18218.69000182526,17959.643436505732,16065.362106537548,12590.790799466704,8177.443817296897,3202.623936833279,2577.9152290680177,1081.782837054932,1081.782837054932,1081.782837054932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28745,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25872,Grand-Lancy,536.5800585479798,4599.894096695055,2062.2965250287607,4521.799333796539,4395.795981185159,3410.44302833426,2407.0851030893023,1994.5158835230627,963.2319648343035,963.2319648343035,963.2319648343035,963.2319648343035,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,22178,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21376,Grand-Lancy,680.1153482457502,3875.031401509925,1754.3694976235154,3838.979337725647,3527.2789056860706,3236.0135785990783,2160.625440605497,1675.1994848354266,624.7087077652611,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,21288,Grand-Lancy,1566.6687118059845,19145.759725617438,5771.595488657431,19031.61289893464,18593.909114283684,15887.308727745662,13174.083793441332,7819.069178983707,2362.600956423907,1701.416352239798,963.2319648343035,963.2319648343035,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20119,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19240,Grand-Lancy,680.1153482457502,3898.6227004028287,1700.308657433275,3898.6227004028287,3453.8790556551057,3242.0043240380132,2250.508974069779,508.04694602063836,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,18557,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16823,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16570,Grand-Lancy,1566.6687118059845,16928.611882295136,5251.8357636398805,16892.559818510857,16633.51325319133,15598.05095737824,13454.921009560401,10382.950504961973,5399.0953772128905,4083.9745134171844,1851.1090839035776,963.2319648343035,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16290,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16262,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15976,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15680,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12771,Grand-Lancy,1566.6687118059845,16429.47831251467,5255.8060336635735,16315.331485831877,16182.28827312373,14397.465802857212,12425.250420771376,7095.003793041985,1624.4165690184127,963.2319648343035,963.2319648343035,963.2319648343035,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11714,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7538,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3583,Grand-Lancy,1566.6687118059845,15999.190745044154,4971.775699533867,15885.04391836136,15747.522090826187,14137.773802332871,11418.964841217396,7466.139237326165,3097.160841932312,1818.5158745554534,1081.782837054932,1081.782837054932,1081.782837054932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2344,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1000,Grand-Lancy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
