,product_id,location,distance_group,distance_group_last_mile,distance_no_group
0,48112,Grand-Lancy,0,0,0
0,47621,Grand-Lancy,680.1153482457502,6167.061192825866,1940.1743638965302
0,46692,Grand-Lancy,680.1153482457502,4982.328955435918,1791.7017968214511
0,44014,Grand-Lancy,0,0,0
0,43310,Grand-Lancy,680.1153482457502,4577.979467091024,1744.5132311761545
0,41774,Grand-Lancy,0,0,0
0,39468,Grand-Lancy,0,0,0
0,37317,Grand-Lancy,0,0,0
0,34386,Grand-Lancy,680.1153482457502,2954.4031262417748,1486.3859164736941
0,31981,Grand-Lancy,1566.6687118059845,18218.69000182526,5240.853510417646
0,28745,Grand-Lancy,0,0,0
0,25872,Grand-Lancy,536.5800585479798,4599.894096695055,2062.2965250287607
0,22178,Grand-Lancy,0,0,0
0,21376,Grand-Lancy,680.1153482457502,3875.031401509925,1754.3694976235154
0,21288,Grand-Lancy,1566.6687118059845,19145.759725617438,5771.595488657431
0,20119,Grand-Lancy,0,0,0
0,19240,Grand-Lancy,680.1153482457502,3898.6227004028287,1700.308657433275
0,18557,Grand-Lancy,0,0,0
0,16823,Grand-Lancy,0,0,0
0,16570,Grand-Lancy,1566.6687118059845,16928.611882295136,5251.8357636398805
0,16290,Grand-Lancy,0,0,0
0,16262,Grand-Lancy,0,0,0
0,15976,Grand-Lancy,0,0,0
0,15680,Grand-Lancy,0,0,0
0,12771,Grand-Lancy,1566.6687118059845,16429.47831251467,5255.8060336635735
0,11714,Grand-Lancy,0,0,0
0,7538,Grand-Lancy,0,0,0
0,3583,Grand-Lancy,1566.6687118059845,15999.190745044154,4971.775699533867
0,2344,Grand-Lancy,0,0,0
0,1000,Grand-Lancy,0,0,0
