,product_id,location,distance_group,distance_group_last_mile,distance_no_group
0,48112,Lausanne,0,0,0
0,47621,Lausanne,2689.1331004813865,28753.138039139227,7112.45462972864
0,46692,Lausanne,2689.1331004813865,25757.1500587974,6502.858892155554
0,44014,Lausanne,0,0,0
0,43310,Lausanne,2689.1331004813865,25286.628583658854,6349.581452829571
0,41774,Lausanne,2168.631979828695,8992.514546033492,3514.0439111605124
0,39468,Lausanne,0,0,0
0,37317,Lausanne,2168.631979828695,9295.05816512467,3467.934112257459
0,34386,Lausanne,2689.1331004813865,28869.639304476124,6839.860938133864
0,31981,Lausanne,4454.516464281114,76014.97588147596,13528.92641289634
0,28745,Lausanne,0,0,0
0,25872,Lausanne,1770.6941987753582,6551.07616232133,3040.4465056312806
0,22178,Lausanne,0,0,0
0,21376,Lausanne,2689.1331004813865,27411.58841369151,6442.275529407891
0,21288,Lausanne,4454.189998578575,77425.49750436816,13640.120132572792
0,20119,Lausanne,2168.631979828695,9923.160435369264,3575.98615229824
0,19240,Lausanne,2689.1331004813865,30624.926730949916,6894.515499318771
0,18557,Lausanne,0,0,0
0,16823,Lausanne,0,0,0
0,16570,Lausanne,4454.189998578575,75238.62486068874,13243.636528059837
0,16290,Lausanne,2168.631979828695,9442.656156768579,3339.8287915191863
0,16262,Lausanne,0,0,0
0,15976,Lausanne,0,0,0
0,15680,Lausanne,0,0,0
0,12771,Lausanne,4454.189998578575,79446.87351107768,13352.161190481951
0,11714,Lausanne,0,0,0
0,7538,Lausanne,2168.631979828695,9232.723464568158,3221.895952313537
0,3583,Lausanne,4454.516464281114,78262.177974682,13294.830080395113
0,2344,Lausanne,0,0,0
0,1000,Lausanne,0,0,0
