,product_id,location,distance_group,distance_group_last_mile,distance_no_group
0,48112,St-Cergue,4683.455776292075,8667.305529769095,7038.811748316004
0,47621,St-Cergue,10249.1694420796,13523.802336028912,11889.22007534905
0,46692,St-Cergue,10249.1694420796,19575.549114360965,14365.344963413268
0,44014,St-Cergue,4683.455776292075,10551.794565398257,8110.276940158235
0,43310,St-Cergue,10249.1694420796,23649.599819128176,15439.565060455665
0,41774,St-Cergue,10824.564211926421,37079.677860905984,17662.211250920507
0,39468,St-Cergue,0,0,0
0,37317,St-Cergue,10824.564211926421,37723.474467515734,17812.617458957153
0,34386,St-Cergue,10249.1694420796,20311.731654615993,13634.843365707044
0,31981,St-Cergue,12900.91897234832,133568.1766869214,26756.111870055534
0,28745,St-Cergue,0,0,0
0,25872,St-Cergue,3774.118926271589,12453.917342874525,6263.024043025116
0,22178,St-Cergue,0,0,0
0,21376,St-Cergue,10249.1694420796,16547.29653390943,14422.965092940445
0,21288,St-Cergue,13646.901947068309,144154.5886819191,29890.011115048113
0,20119,St-Cergue,10824.564211926421,40880.89376659825,17411.341411590198
0,19240,St-Cergue,10249.1694420796,19943.59809207961,13828.691037967177
0,18557,St-Cergue,4683.455776292075,11376.047344623868,7433.63441623902
0,16823,St-Cergue,0,0,0
0,16570,St-Cergue,13646.901947068309,151750.63017439673,28775.620973681584
0,16290,St-Cergue,10824.564211926421,33261.767686766,15436.363566109358
0,16262,St-Cergue,0,0,0
0,15976,St-Cergue,0,0,0
0,15680,St-Cergue,0,0,0
0,12771,St-Cergue,13646.901947068309,158481.2832669713,29537.269001843048
0,11714,St-Cergue,0,0,0
0,7538,St-Cergue,10824.564211926421,37757.140938596654,16945.902128804948
0,3583,St-Cergue,12900.91897234832,135600.43262493258,28095.56672381288
0,2344,St-Cergue,0,0,0
0,1000,St-Cergue,0,0,0
