,product_id,location,distance_group,distance_group_last_mile,distance_no_group
0,48112,Weinegg,440.3461739989178,2864.7715271109532,1692.6388296053372
0,47621,Weinegg,1952.6883836612521,23938.699470168238,6252.355587734955
0,46692,Weinegg,1952.6883836612521,21270.254208261857,6033.97651431231
0,44014,Weinegg,440.3461739989178,2117.193364718206,1229.5249697300976
0,43310,Weinegg,1952.6883836612521,23402.54001491583,5744.959352029258
0,41774,Weinegg,809.2891467486252,2962.1834207007632,1484.5870766593239
0,39468,Weinegg,0,0,0
0,37317,Weinegg,809.2891467486252,2394.2475175967425,1435.5992280070109
0,34386,Weinegg,1952.6883836612521,20872.482878050523,5945.386857859953
0,31981,Weinegg,2476.757490983877,34257.835356082425,8411.519197190217
0,28745,Weinegg,0,0,0
0,25872,Weinegg,446.3917747574474,4977.120375863526,1314.8629262659042
0,22178,Weinegg,0,0,0
0,21376,Weinegg,1952.6883836612521,16150.22851492698,5479.693081595849
0,21288,Weinegg,2490.256505022089,27646.273002056423,6927.600919276809
0,20119,Weinegg,809.2891467486252,4399.010808474821,1687.6312523260574
0,19240,Weinegg,1952.6883836612521,23256.866820123287,6565.3420844764205
0,18557,Weinegg,440.3461739989178,2984.4196109424083,1465.6938865369987
0,16823,Weinegg,0,0,0
0,16570,Weinegg,2490.256505022089,30903.131546487763,7536.5508024211285
0,16290,Weinegg,809.2891467486252,3315.438261765974,1642.4195625432608
0,16262,Weinegg,0,0,0
0,15976,Weinegg,0,0,0
0,15680,Weinegg,0,0,0
0,12771,Weinegg,2490.256505022089,35308.55954573494,8024.365009705394
0,11714,Weinegg,0,0,0
0,7538,Weinegg,809.2891467486252,2157.659019696173,1350.2268134179872
0,3583,Weinegg,2476.757490983877,29263.05068798196,8112.472087215974
0,2344,Weinegg,0,0,0
0,1000,Weinegg,0,0,0
