,product_id,location,distance_group,distance_group_last_mile,distance_no_group
0,48112,Zurich,0,0,0
0,47621,Zurich,3765.8047408567045,63895.303523379494,13911.899047022238
0,46692,Zurich,3765.8047408567045,62470.61567889361,13422.271829016952
0,44014,Zurich,0,0,0
0,43310,Zurich,3765.8047408567045,62234.43493674648,13287.726217337957
0,41774,Zurich,1820.6753496283973,13553.33987596115,4084.965858815064
0,39468,Zurich,0,0,0
0,37317,Zurich,1820.6753496283973,12697.498017193122,3471.2408266722555
0,34386,Zurich,3765.8047408567045,61914.04863850746,13231.571345668131
0,31981,Zurich,4403.292783462574,111415.9600491382,17451.666214737485
0,28745,Zurich,0,0,0
0,25872,Zurich,2738.9701051454463,25978.022001975565,6307.278826719152
0,22178,Zurich,0,0,0
0,21376,Zurich,3765.8047408567045,62427.99764657459,13426.342736229433
0,21288,Zurich,4733.637049207175,124673.26598985745,18387.397211218144
0,20119,Zurich,1820.6753496283973,11408.676773053727,3775.4656583151527
0,19240,Zurich,3765.8047408567045,62093.89567040688,12839.45342611442
0,18557,Zurich,0,0,0
0,16823,Zurich,0,0,0
0,16570,Zurich,4733.637049207175,122821.04752188287,18596.042306448864
0,16290,Zurich,1820.6753496283973,13333.626581815339,3917.7733643901383
0,16262,Zurich,0,0,0
0,15976,Zurich,0,0,0
0,15680,Zurich,490.70112813280656,2421.8730577349384,1738.5460362529363
0,12771,Zurich,4733.637049207175,117872.62671249776,17985.824627734837
0,11714,Zurich,0,0,0
0,7538,Zurich,1820.6753496283973,13749.297290345747,4076.599877480348
0,3583,Zurich,4403.292783462574,114426.2448792964,17894.59594078408
0,2344,Zurich,0,0,0
0,1000,Zurich,0,0,0
